index;type;minority_decision;majority_decision
2203;OUTLIER;8=>600;8=>500
157;RARE;8=>600;8=>500
671;OUTLIER;8=>600;8=>500
672;OUTLIER;8=>600;8=>500
2208;OUTLIER;8=>600;8=>500
673;OUTLIER;8=>600;8=>500
2209;RARE;8=>600;8=>500
674;OUTLIER;8=>600;8=>500
2210;OUTLIER;8=>600;8=>500
163;SAFE;8=>600;8=>500
675;OUTLIER;8=>600;8=>500
2211;OUTLIER;8=>600;8=>500
164;OUTLIER;8=>600;8=>500
2213;BORDERLINE;8=>600;8=>500
3237;BORDERLINE;8=>600;8=>500
166;OUTLIER;8=>600;8=>500
678;OUTLIER;8=>600;8=>500
167;BORDERLINE;8=>600;8=>500
683;OUTLIER;8=>600;8=>500
3244;RARE;8=>600;8=>500
2221;BORDERLINE;8=>600;8=>500
687;OUTLIER;8=>600;8=>500
178;BORDERLINE;8=>600;8=>500
181;OUTLIER;8=>600;8=>500
694;SAFE;8=>600;8=>500
696;SAFE;8=>600;8=>500
2233;BORDERLINE;8=>600;8=>500
699;OUTLIER;8=>600;8=>500
1211;BORDERLINE;8=>600;8=>500
3259;OUTLIER;8=>600;8=>500
2237;RARE;8=>600;8=>500
3263;OUTLIER;8=>600;8=>500
197;OUTLIER;8=>600;8=>500
3271;OUTLIER;8=>600;8=>500
3274;OUTLIER;8=>600;8=>500
1228;OUTLIER;8=>600;8=>500
718;SAFE;8=>600;8=>500
719;SAFE;8=>600;8=>500
3279;OUTLIER;8=>600;8=>500
720;SAFE;8=>600;8=>500
3280;OUTLIER;8=>600;8=>500
725;OUTLIER;8=>600;8=>500
2262;OUTLIER;8=>600;8=>500
3801;BORDERLINE;8=>600;8=>500
734;OUTLIER;8=>600;8=>500
2270;OUTLIER;8=>600;8=>500
3297;OUTLIER;8=>600;8=>500
2275;OUTLIER;8=>600;8=>500
3299;BORDERLINE;8=>600;8=>500
3300;OUTLIER;8=>600;8=>500
2277;OUTLIER;8=>600;8=>500
743;OUTLIER;8=>600;8=>500
232;BORDERLINE;8=>600;8=>500
744;BORDERLINE;8=>600;8=>500
3304;OUTLIER;8=>600;8=>500
745;OUTLIER;8=>600;8=>500
3305;OUTLIER;8=>600;8=>500
746;OUTLIER;8=>600;8=>500
236;SAFE;8=>600;8=>500
237;SAFE;8=>600;8=>500
238;SAFE;8=>600;8=>500
240;OUTLIER;8=>600;8=>500
3312;OUTLIER;8=>600;8=>500
754;OUTLIER;8=>600;8=>500
756;RARE;8=>600;8=>500
3316;OUTLIER;8=>600;8=>500
3318;BORDERLINE;8=>600;8=>500
3319;OUTLIER;8=>600;8=>500
3320;OUTLIER;8=>600;8=>500
761;OUTLIER;8=>600;8=>500
762;BORDERLINE;8=>600;8=>500
2813;OUTLIER;8=>600;8=>500
3837;SAFE;8=>600;8=>500
2814;OUTLIER;8=>600;8=>500
3327;OUTLIER;8=>600;8=>500
256;BORDERLINE;8=>600;8=>500
769;OUTLIER;8=>600;8=>500
2305;OUTLIER;8=>600;8=>500
2307;OUTLIER;8=>600;8=>500
3843;RARE;8=>600;8=>500
263;RARE;8=>600;8=>500
2313;OUTLIER;8=>600;8=>500
3338;OUTLIER;8=>600;8=>500
2315;OUTLIER;8=>600;8=>500
3340;BORDERLINE;8=>600;8=>500
270;OUTLIER;8=>600;8=>500
271;OUTLIER;8=>600;8=>500
3857;RARE;8=>600;8=>500
275;OUTLIER;8=>600;8=>500
2324;OUTLIER;8=>600;8=>500
277;RARE;8=>600;8=>500
278;BORDERLINE;8=>600;8=>500
3863;OUTLIER;8=>600;8=>500
3865;OUTLIER;8=>600;8=>500
2334;OUTLIER;8=>600;8=>500
287;OUTLIER;8=>600;8=>500
2335;RARE;8=>600;8=>500
3359;OUTLIER;8=>600;8=>500
2336;OUTLIER;8=>600;8=>500
3360;OUTLIER;8=>600;8=>500
1825;BORDERLINE;8=>600;8=>500
290;BORDERLINE;8=>600;8=>500
2338;RARE;8=>600;8=>500
2339;BORDERLINE;8=>600;8=>500
3876;OUTLIER;8=>600;8=>500
293;OUTLIER;8=>600;8=>500
294;OUTLIER;8=>600;8=>500
3367;RARE;8=>600;8=>500
2344;BORDERLINE;8=>600;8=>500
297;OUTLIER;8=>600;8=>500
2345;RARE;8=>600;8=>500
3369;OUTLIER;8=>600;8=>500
811;OUTLIER;8=>600;8=>500
2348;OUTLIER;8=>600;8=>500
3372;OUTLIER;8=>600;8=>500
3373;RARE;8=>600;8=>500
2351;OUTLIER;8=>600;8=>500
2352;OUTLIER;8=>600;8=>500
305;BORDERLINE;8=>600;8=>500
2353;RARE;8=>600;8=>500
2865;OUTLIER;8=>600;8=>500
306;SAFE;8=>600;8=>500
3890;RARE;8=>600;8=>500
2357;OUTLIER;8=>600;8=>500
3381;OUTLIER;8=>600;8=>500
310;RARE;8=>600;8=>500
2358;OUTLIER;8=>600;8=>500
312;OUTLIER;8=>600;8=>500
313;OUTLIER;8=>600;8=>500
3897;OUTLIER;8=>600;8=>500
314;OUTLIER;8=>600;8=>500
2362;RARE;8=>600;8=>500
2363;BORDERLINE;8=>600;8=>500
3387;RARE;8=>600;8=>500
3899;SAFE;8=>600;8=>500
3389;BORDERLINE;8=>600;8=>500
318;OUTLIER;8=>600;8=>500
2366;RARE;8=>600;8=>500
3902;BORDERLINE;8=>600;8=>500
3903;OUTLIER;8=>600;8=>500
2368;RARE;8=>600;8=>500
3392;OUTLIER;8=>600;8=>500
3904;OUTLIER;8=>600;8=>500
321;SAFE;8=>600;8=>500
3906;BORDERLINE;8=>600;8=>500
2371;SAFE;8=>600;8=>500
3396;OUTLIER;8=>600;8=>500
3401;OUTLIER;8=>600;8=>500
3914;OUTLIER;8=>600;8=>500
334;RARE;8=>600;8=>500
3918;RARE;8=>600;8=>500
2383;OUTLIER;8=>600;8=>500
337;OUTLIER;8=>600;8=>500
3924;OUTLIER;8=>600;8=>500
2390;OUTLIER;8=>600;8=>500
3929;RARE;8=>600;8=>500
3930;OUTLIER;8=>600;8=>500
3931;RARE;8=>600;8=>500
2397;RARE;8=>600;8=>500
351;RARE;8=>600;8=>500
2399;RARE;8=>600;8=>500
354;BORDERLINE;8=>600;8=>500
2402;OUTLIER;8=>600;8=>500
355;OUTLIER;8=>600;8=>500
3428;RARE;8=>600;8=>500
357;OUTLIER;8=>600;8=>500
358;OUTLIER;8=>600;8=>500
359;RARE;8=>600;8=>500
360;OUTLIER;8=>600;8=>500
3944;RARE;8=>600;8=>500
362;RARE;8=>600;8=>500
363;RARE;8=>600;8=>500
3947;OUTLIER;8=>600;8=>500
365;OUTLIER;8=>600;8=>500
2416;OUTLIER;8=>600;8=>500
369;RARE;8=>600;8=>500
370;RARE;8=>600;8=>500
882;BORDERLINE;8=>600;8=>500
2418;OUTLIER;8=>600;8=>500
371;RARE;8=>600;8=>500
372;BORDERLINE;8=>600;8=>500
375;OUTLIER;8=>600;8=>500
891;OUTLIER;8=>600;8=>500
3963;OUTLIER;8=>600;8=>500
894;BORDERLINE;8=>600;8=>500
2431;RARE;8=>600;8=>500
896;RARE;8=>600;8=>500
2433;RARE;8=>600;8=>500
898;BORDERLINE;8=>600;8=>500
2434;RARE;8=>600;8=>500
900;OUTLIER;8=>600;8=>500
2436;OUTLIER;8=>600;8=>500
2438;OUTLIER;8=>600;8=>500
3472;SAFE;8=>600;8=>500
3473;BORDERLINE;8=>600;8=>500
1429;SAFE;8=>600;8=>500
1430;BORDERLINE;8=>600;8=>500
407;RARE;8=>600;8=>500
2458;BORDERLINE;8=>600;8=>500
3994;BORDERLINE;8=>600;8=>500
2459;RARE;8=>600;8=>500
2463;OUTLIER;8=>600;8=>500
416;OUTLIER;8=>600;8=>500
417;OUTLIER;8=>600;8=>500
418;OUTLIER;8=>600;8=>500
2467;BORDERLINE;8=>600;8=>500
1957;OUTLIER;8=>600;8=>500
2471;RARE;8=>600;8=>500
426;OUTLIER;8=>600;8=>500
427;RARE;8=>600;8=>500
428;OUTLIER;8=>600;8=>500
2476;OUTLIER;8=>600;8=>500
429;BORDERLINE;8=>600;8=>500
430;RARE;8=>600;8=>500
431;OUTLIER;8=>600;8=>500
432;BORDERLINE;8=>600;8=>500
433;OUTLIER;8=>600;8=>500
442;OUTLIER;8=>600;8=>500
447;BORDERLINE;8=>600;8=>500
449;BORDERLINE;8=>600;8=>500
3009;OUTLIER;8=>600;8=>500
3521;BORDERLINE;8=>600;8=>500
450;RARE;8=>600;8=>500
1986;BORDERLINE;8=>600;8=>500
3522;SAFE;8=>600;8=>500
451;OUTLIER;8=>600;8=>500
1987;SAFE;8=>600;8=>500
2499;RARE;8=>600;8=>500
3523;OUTLIER;8=>600;8=>500
452;OUTLIER;8=>600;8=>500
468;RARE;8=>600;8=>500
469;BORDERLINE;8=>600;8=>500
475;RARE;8=>600;8=>500
477;BORDERLINE;8=>600;8=>500
478;OUTLIER;8=>600;8=>500
479;RARE;8=>600;8=>500
480;BORDERLINE;8=>600;8=>500
481;RARE;8=>600;8=>500
483;OUTLIER;8=>600;8=>500
494;OUTLIER;8=>600;8=>500
497;RARE;8=>600;8=>500
2545;BORDERLINE;8=>600;8=>500
2546;BORDERLINE;8=>600;8=>500
2548;OUTLIER;8=>600;8=>500
501;RARE;8=>600;8=>500
504;OUTLIER;8=>600;8=>500
509;OUTLIER;8=>600;8=>500
